scat_id,index
2000,0
2200,1
2820,2
2825,3
2827,4
2846,5
3001,6
3002,7
3120,8
3122,9
3126,10
3127,11
3180,12
3662,13
3682,14
3685,15
3804,16
3812,17
4030,18
4032,19
4034,20
4035,21
4040,22
4043,23
4051,24
4057,25
4063,26
4262,27
4263,28
4264,29
4266,30
4270,31
4272,32
4273,33
4321,34
4323,35
4324,36
4335,37
4812,38
4821,39
970,40
