loss,mape,val_loss,val_mape
0.0013446382945403457,118657.5,0.0009275845950469375,123088.6953125
0.0009608305408619344,110327.84375,0.0008914619102142751,89602.3203125
0.0009390863124281168,111027.296875,0.0008951396448537707,168607.5
0.0009294984629377723,110625.8828125,0.0008731392445042729,50670.92578125
0.00091719621559605,107821.1953125,0.0009254034957848489,162514.671875
0.0009057984570972621,111867.90625,0.0008736287127248943,90303.171875
0.000896512414328754,108271.515625,0.0008614649996161461,69411.0546875
0.0008885438437573612,106096.6796875,0.0009071738459169865,82174.1796875
0.0008841053349897265,103681.234375,0.0008726738160476089,58189.05078125
0.0008738234755583107,104360.59375,0.0008781548822298646,72665.171875
0.0008753976435400546,102474.1875,0.0009018652490340173,78982.6796875
0.0008691793773323298,100206.1640625,0.000851083779707551,109437.15625
0.0008656932041049004,97399.953125,0.0009290433954447508,137873.984375
0.0008591375662945211,96893.90625,0.0009377072565257549,121169.4140625
0.000860257598105818,96701.046875,0.0009444449096918106,67422.8046875
0.0008538982947356999,94838.5625,0.001058675698004663,170720.234375
0.0008518065442331135,91787.6875,0.0009288786677643657,153880.875
0.0008505388395860791,90790.0546875,0.0008569071651436388,173176.375
0.000847777642775327,93773.5703125,0.0009479053551331162,174103.140625
0.0008450268069282174,87166.6875,0.0010341028682887554,170482.796875
0.0008428157889284194,87909.4609375,0.001046652439981699,163355.984375
0.0008408777066506445,88567.5703125,0.001006250735372305,106878.8828125
