segment_id,date,weekday,hour,LOS,flow_proxy,max_velocity,length,calc_length,street_level,street_type,long_snode,lat_snode,long_enode,lat_enode,LOS_encoded,street_type_encoded,street_name_freq
62607,7/30/2020,3,3.5,F,0.083108108,0.285714286,0.251533742,0.251254076,4,tertiary,106.6438571,10.7444878,106.6444213,10.7435298,5,20,3
40708,7/31/2020,4,17.5,F,0.072072072,0.571428571,0.130879346,0.131037513,1,trunk,106.7586325,10.8222963,106.7584635,10.821743,5,22,532
83727,7/31/2020,4,11,F,0.07027027,0.285714286,0.212678937,0.213421777,4,tertiary,106.8056563,10.8749777,106.8065243,10.8745808,5,20,43
65617,7/31/2020,4,13,F,0.036486486,0.285714286,0.110429448,0.110826669,4,tertiary,106.7713916,10.844502,106.7716472,10.8449213,5,20,100
40453,7/31/2020,4,17.5,F,0.128378378,0.714285714,0.194274029,0.195896001,1,trunk,106.7500313,10.7875285,106.7505717,10.7882091,5,22,47
4241,7/31/2020,4,17.5,D,0.086486486,0.285714286,0.065439673,0.066141456,4,tertiary,106.7684764,10.8271362,106.7687697,10.827184,3,20,3
50413,7/31/2020,4,11,B,0.118918919,0.285714286,0.044989775,0.046596736,4,tertiary,106.805025,10.8744454,106.8049291,10.8742622,1,20,55
82049,7/31/2020,4,13.5,F,0.122972973,0.714285714,0.18609407,0.186052238,2,primary,106.7787855,10.8528557,106.7780777,10.8524211,5,14,532
33649,7/31/2020,4,17.5,F,0.29009009,1,0.329243354,0.32970242,1,trunk,106.7639563,10.8321715,106.763245,10.8308985,5,22,532
33642,7/31/2020,4,13,F,0.054054054,0.714285714,0.081799591,0.083278025,1,trunk,106.7761533,10.8511278,106.7758752,10.850882,5,22,532
83729,7/31/2020,4,11,F,0.020945946,0.285714286,0.063394683,0.063405554,4,tertiary,106.8053886,10.875074,106.8056563,10.8749777,5,20,43
21796,7/31/2020,4,13.5,F,0.022972973,0.285714286,0.069529652,0.071306307,1,trunk,106.7935727,10.8653874,106.7933392,10.865603,5,22,331
83727,8/1/2020,5,15.5,F,0.07027027,0.285714286,0.212678937,0.213421777,4,tertiary,106.8056563,10.8749777,106.8065243,10.8745808,5,20,43
